"reservation_id","customer_id","hotel_id","confirmed","date_checkin","date_checkout"
1,14972,785,1,"2024-05-03","2025-03-23"
2,7080,628,1,"2023-12-18","2025-04-06"
3,43922,893,0,"2023-08-18","2025-05-08"
4,10421,449,0,"2023-09-20","2024-08-06"
5,29498,440,1,"2024-04-07","2025-01-14"
6,5029,815,0,"2024-01-29","2024-07-11"
7,37657,734,0,"2023-12-28","2024-07-09"
8,19522,217,0,"2024-01-23","2024-12-16"
9,27895,757,0,"2023-12-08","2025-05-18"
10,47866,325,0,"2024-04-10","2024-07-24"
11,34701,785,0,"2023-10-12","2024-08-17"
12,7790,268,1,"2024-04-10","2025-01-15"
13,13015,960,0,"2023-08-07","2025-06-10"
14,32378,811,0,"2023-07-28","2024-10-24"
15,11143,940,0,"2023-08-13","2025-02-23"
16,25830,867,0,"2023-10-30","2025-04-29"
17,34979,435,1,"2023-09-04","2024-08-12"
18,13582,331,0,"2023-08-06","2024-09-05"
19,13904,775,0,"2024-06-24","2024-08-29"
20,3004,665,0,"2024-02-17","2025-03-11"
21,4100,794,0,"2023-07-29","2025-04-24"
22,17773,232,1,"2023-07-30","2025-02-12"
23,25631,858,0,"2024-01-10","2024-07-09"
24,25805,27,1,"2023-08-05","2024-08-22"
25,45680,914,0,"2024-05-09","2024-07-28"
26,31140,70,0,"2024-01-23","2024-11-06"
27,38570,15,0,"2023-09-11","2025-04-25"
28,1786,943,1,"2023-08-21","2024-11-27"
29,11591,130,0,"2023-09-13","2025-03-12"
30,20066,882,0,"2024-03-27","2024-11-29"
31,1490,269,1,"2023-11-30","2025-04-04"
32,29957,229,1,"2023-12-24","2025-03-05"
33,38848,367,0,"2023-12-05","2025-03-03"
34,3206,536,1,"2023-08-19","2024-11-03"
35,5203,994,1,"2023-07-25","2024-11-28"
36,2160,168,1,"2024-05-11","2025-04-04"
37,38536,414,1,"2024-05-23","2024-12-20"
38,32276,308,0,"2024-05-21","2025-02-20"
39,3772,937,1,"2024-06-04","2025-02-08"
40,6302,604,0,"2024-05-04","2024-08-30"
41,43685,273,0,"2023-07-28","2024-08-14"
42,11699,779,0,"2023-10-25","2025-05-26"
43,35319,523,0,"2024-03-05","2024-08-27"
44,5858,289,1,"2024-04-24","2025-04-05"
45,31265,930,0,"2024-03-17","2025-02-08"
46,20971,816,1,"2023-12-13","2024-12-05"
47,43025,53,1,"2023-08-18","2025-01-04"
48,10152,249,1,"2023-07-08","2025-03-21"
49,26021,511,1,"2023-07-18","2025-06-17"
50,31359,1,1,"2024-03-16","2024-09-01"
51,38610,990,1,"2023-12-25","2025-02-26"
52,38429,679,1,"2024-05-12","2025-03-10"
53,29055,860,1,"2023-10-08","2025-04-15"
54,38909,89,1,"2023-11-30","2024-09-07"
55,35988,950,1,"2024-02-03","2024-09-08"
56,25817,62,1,"2024-02-16","2025-05-31"
57,32490,59,1,"2024-02-24","2025-06-21"
58,22288,412,1,"2023-12-10","2025-04-01"
59,15253,482,1,"2024-03-28","2024-11-06"
60,37664,885,1,"2023-12-10","2024-08-24"
61,44550,138,0,"2024-02-19","2024-07-14"
62,35530,658,1,"2023-10-23","2025-02-27"
63,42149,744,1,"2024-06-29","2024-12-23"
64,27992,832,0,"2023-12-12","2025-04-09"
65,11274,916,0,"2024-01-03","2025-03-03"
66,6732,825,1,"2023-12-01","2024-07-11"
67,12002,718,1,"2023-10-18","2025-06-24"
68,33535,65,1,"2024-01-29","2024-10-09"
69,21706,152,1,"2023-11-12","2024-07-30"
70,38470,685,0,"2023-09-24","2025-04-20"
71,32419,150,0,"2024-06-02","2025-01-07"
72,49125,920,0,"2023-08-16","2025-03-07"
73,27489,401,0,"2024-05-30","2024-08-10"
74,11221,388,0,"2023-08-17","2024-12-11"
75,27186,274,0,"2024-02-03","2025-02-11"
76,27269,245,0,"2023-11-30","2024-10-24"
77,6246,236,0,"2024-05-11","2024-11-13"
78,40908,550,0,"2023-10-04","2025-04-04"
79,48412,812,1,"2023-08-13","2025-04-25"
80,5558,872,0,"2023-10-14","2025-06-30"
