"room_id","hotel_id","class","price"
1,307,Deluxe,322.16
2,557,Standard,482.38
3,729,Standard,113.76
4,267,Presidential,286.20
5,831,Standard,293.84
6,374,Suite,435.27
7,711,Standard,287.04
8,594,Suite,197.06
9,651,Deluxe,240.34
10,455,Suite,74.31
11,348,Standard,367.56
12,190,Suite,465.22
13,93,Standard,206.97
14,993,Deluxe,94.45
15,984,Standard,247.53
16,333,Deluxe,324.27
17,39,Presidential,467.79
18,530,Presidential,337.39
19,877,Presidential,331.19
20,973,Presidential,132.19
21,970,Standard,423.85
22,931,Standard,193.29
23,343,Standard,468.49
24,836,Standard,460.28
25,413,Suite,76.94
26,817,Presidential,390.25
27,220,Presidential,428.00
28,771,Deluxe,114.33
29,446,Suite,139.26
30,538,Standard,112.70
31,989,Deluxe,109.22
32,999,Standard,296.27
33,64,Suite,414.54
34,9,Presidential,358.98
35,473,Standard,398.52
36,295,Standard,188.27
37,76,Presidential,248.85
38,821,Suite,459.98
39,429,Suite,118.91
40,352,Presidential,312.18
41,766,Deluxe,133.36
42,699,Deluxe,429.44
43,618,Suite,222.35
44,123,Standard,339.94
45,584,Presidential,67.11
46,496,Suite,390.85
47,536,Deluxe,308.41
48,935,Suite,118.62
49,820,Presidential,173.65
50,2,Presidential,58.30
51,745,Deluxe,269.45
52,76,Deluxe,355.99
53,700,Suite,424.88
54,622,Presidential,282.56
55,969,Presidential,354.75
56,723,Deluxe,256.61
57,931,Deluxe,88.43
58,555,Suite,290.26
59,192,Standard,96.92
60,54,Standard,109.87
61,250,Presidential,193.61
62,109,Presidential,72.90
63,754,Presidential,484.88
64,328,Presidential,115.59
65,503,Deluxe,87.86
66,127,Deluxe,67.03
67,873,Suite,430.04
68,519,Presidential,136.64
69,251,Suite,114.76
70,288,Standard,274.93
71,846,Suite,119.94
72,87,Standard,493.24
73,298,Suite,317.72
74,266,Standard,438.89
75,279,Standard,335.37
76,654,Suite,451.76
77,745,Suite,271.21
78,337,Standard,407.72
79,703,Deluxe,455.21
80,145,Suite,426.43
81,450,Standard,183.51
82,932,Presidential,271.39
83,107,Deluxe,205.67
84,572,Deluxe,491.27
85,256,Presidential,331.53
86,754,Deluxe,165.56
87,774,Standard,282.71
88,562,Presidential,108.97
89,821,Deluxe,472.27
90,467,Suite,90.51
91,15,Deluxe,472.16
92,606,Presidential,154.69
93,846,Presidential,261.82
94,443,Suite,363.14
95,385,Deluxe,56.46
96,38,Presidential,348.76
97,755,Suite,349.08
98,465,Deluxe,79.41
99,665,Suite,397.15
100,253,Presidential,385.65
101,741,Presidential,207.68
102,120,Deluxe,456.95
103,78,Deluxe,84.28
104,824,Standard,345.66
105,711,Deluxe,415.36
106,249,Presidential,80.88
107,264,Suite,187.63
